nombre,tipo,precio,distancia,valoracion,terraza,interior
La Tagliatella,italiana,18,2.1,4.3,true,true
Sushi Madrid,japonesa,22,3.0,4.6,false,true
Casa Paco,española,15,1.2,4.1,true,true
Taco Centro,mexicana,14,2.5,4.0,true,true
Burger Plaza,americana,12,1.8,3.9,false,true
Ramen Gran Via,japonesa,16,2.2,4.5,false,true
Pizzeria Napoli,italiana,13,1.5,4.2,true,true
El Rincon de Madrid,española,19,2.8,4.4,true,true
Green Bowl,vegetariana,11,1.0,4.0,true,true
Curry House,india,17,3.5,4.3,false,true
Le Petit Paris,francesa,24,4.0,4.6,false,true
Arepa Latina,venezolana,10,2.0,4.1,true,true
Tandoori Sol,india,15,2.7,4.2,true,true
Wok Plaza,china,12,1.9,3.8,false,true
Mediterraneo Azul,mediterranea,21,2.4,4.5,true,true